source,job_title,company_name,job_location,job_type,category,salary_min,salary_max,salary_avg,salary_range,salary_currency,experience_required,education_required,skills_required,job_description
Khmer24,Field Coordinator,Plan International,Battambang,Internship,Ngo & Development,436,4699,2567.5,4263,USD,0,bachelor,report writing; khmer; data collection; donor relations; project management; ms office; advocacy,"We are looking for a talented Field Coordinator to join our team at Plan International. The candidate will be responsible for contributing to our ngo & development operations in Battambang. This is an internship opportunity suitable for fresh graduates. Required skills include: report writing, khmer, data collection. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
CamHR,Library Assistant,Camed Business School,Siem Reap,Full-time,Education & Training,,,,,,2,bachelor,reporting; curriculum design; khmer; e-learning; communication; lesson planning; patience,"We are looking for a talented Library Assistant to join our team at CamEd Business School. The candidate will be responsible for contributing to our education & training operations in Siem Reap. Required skills include: reporting, curriculum design, khmer. Minimum 2 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Software Developer,Sabay Digital,Remote,Internship,Technology & It,564,8930,4747,8366,USD,0,master,node.js; react; php; mysql; python,"We are looking for a talented Software Developer to join our team at Sabay Digital. The candidate will be responsible for contributing to our technology & it operations in Remote. This is an internship opportunity suitable for fresh graduates. Required skills include: node.js, react, php. No experience required — training provided. Education: Master degree or equivalent preferred."
BongThom,Social Media Manager,Medialink Cambodia,Preah Vihear,Internship,Media & Marketing,,,,,,0,bachelor,english; content writing; canva; seo; analytics; video editing,"We are looking for a talented Social Media Manager to join our team at Medialink Cambodia. The candidate will be responsible for contributing to our media & marketing operations in Preah Vihear. This is an internship opportunity suitable for fresh graduates. Required skills include: english, content writing, canva. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
Khmer24,Foreman,Chip Mong Group,Phnom Penh,Full-time,Construction & Engineering,357,6091,3224,5734,USD,3,bachelor,negotiation; autocad; safety management; ms project; english,"We are looking for a talented Foreman to join our team at Chip Mong Group. The candidate will be responsible for contributing to our construction & engineering operations in Phnom Penh. Required skills include: negotiation, autocad, safety management. Minimum 3 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Electrical Engineer,Grand Phnom Penh,Battambang,Internship,Construction & Engineering,539,5759,3149,5220,USD,0,master,safety management; project management; surveying; civil 3d; concrete design; structural analysis; autocad,"We are looking for a talented Electrical Engineer to join our team at Grand Phnom Penh. The candidate will be responsible for contributing to our construction & engineering operations in Battambang. This is an internship opportunity suitable for fresh graduates. Required skills include: safety management, project management, surveying. No experience required — training provided. Education: Master degree or equivalent preferred."
KhmerOnline,Sales Executive,Chip Mong Retail,Kampong Cham,Full-time,Retail & Sales,181,1613,897,1432,USD,0,bachelor,product knowledge; english; customer service; pos system; sales; communication; khmer; target driven,"We are looking for a talented Sales Executive to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Kampong Cham. Required skills include: product knowledge, english, customer service. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
CamHR,Program Officer,World Vision Cambodia,Remote,Full-time,Ngo & Development,233,3856,2044.5,3623,USD,0,none,community engagement; report writing; m&e; data collection; advocacy; donor relations; project management; khmer,"We are looking for a talented Program Officer to join our team at World Vision Cambodia. The candidate will be responsible for contributing to our ngo & development operations in Remote. Required skills include: community engagement, report writing, m&e. No experience required — training provided. Education: None degree or equivalent preferred."
BongThom,Cost Accountant,Grant Thornton,Remote,Full-time,Accounting & Audit,383,5213,2798,4830,USD,0,master,sage; quickbooks; financial reporting; tax law; accounting standards; excel,"We are looking for a talented Cost Accountant to join our team at Grant Thornton. The candidate will be responsible for contributing to our accounting & audit operations in Remote. Required skills include: sage, quickbooks, financial reporting. No experience required — training provided. Education: Master degree or equivalent preferred."
BongThom,Warehouse Keeper,Pactics Cambodia,Mondulkiri,Contract,Manufacturing,208,1063,635.5,855,USD,6,none,khmer; report writing; inventory; machine operation,"We are looking for a talented Warehouse Keeper to join our team at Pactics Cambodia. The candidate will be responsible for contributing to our manufacturing operations in Mondulkiri. Required skills include: khmer, report writing, inventory. Minimum 6 year(s) of relevant experience required. Education: None degree or equivalent preferred."
KhmerOnline,Property Developer,Ips Cambodia,Phnom Penh,Full-time,Real Estate,304,4503,2403.5,4199,USD,1,master,customer service; khmer; market research; english; communication,"We are looking for a talented Property Developer to join our team at IPS Cambodia. The candidate will be responsible for contributing to our real estate operations in Phnom Penh. Required skills include: customer service, khmer, market research. Minimum 1 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
Khmer24,Construction Laborer,Borey Peng Huoth,Battambang,Full-time,Construction & Engineering,352,5132,2742,4780,USD,1,high school,autocad; civil 3d; concrete design; english; ms project; safety management; project management; structural analysis,"We are looking for a talented Construction Laborer to join our team at Borey Peng Huoth. The candidate will be responsible for contributing to our construction & engineering operations in Battambang. Required skills include: autocad, civil 3d, concrete design. Minimum 1 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
Khmer24,Seed Technician,Rma Cambodia,Siem Reap,Internship,Agriculture & Farming,,,,,,0,high school,teamwork; pest control,"We are looking for a talented Seed Technician to join our team at RMA Cambodia. The candidate will be responsible for contributing to our agriculture & farming operations in Siem Reap. This is an internship opportunity suitable for fresh graduates. Required skills include: teamwork, pest control. No experience required — training provided. Education: High School degree or equivalent preferred."
CamHR,Travel Consultant,Park Hyatt Siem Reap,Kandal,Freelance,Hospitality & Tourism,,,,,,1,bachelor,khmer; hotel management; customer service; event management; communication; teamwork,"We are looking for a talented Travel Consultant to join our team at Park Hyatt Siem Reap. The candidate will be responsible for contributing to our hospitality & tourism operations in Kandal. Required skills include: khmer, hotel management, customer service. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Wash Officer,Care Cambodia,Ratanakiri,Internship,Ngo & Development,376.1,3688.29,2032.195,3312.19,USD,0,bachelor,m&e; data collection; advocacy; project management; khmer; donor relations; ms office; community engagement,"We are looking for a talented WASH Officer to join our team at Care Cambodia. The candidate will be responsible for contributing to our ngo & development operations in Ratanakiri. This is an internship opportunity suitable for fresh graduates. Required skills include: m&e, data collection, advocacy. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
Khmer24,Branch Manager,Aba Bank,Battambang,Full-time,Banking & Finance,564,4489,2526.5,3925,USD,3,bachelor,loan processing; excel; financial modeling; khmer,"We are looking for a talented Branch Manager to join our team at ABA Bank. The candidate will be responsible for contributing to our banking & finance operations in Battambang. Required skills include: loan processing, excel, financial modeling. Minimum 3 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Visual Merchandiser,Chip Mong Retail,Phnom Penh,Full-time,Retail & Sales,167,1822,994.5,1655,USD,0,high school,target driven; customer service; pos system; negotiation; khmer; english; communication,"We are looking for a talented Visual Merchandiser to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Phnom Penh. Required skills include: target driven, customer service, pos system. No experience required — training provided. Education: High School degree or equivalent preferred."
KhmerOnline,Full Stack Developer,Kalibrr Cambodia,Remote,Contract,Technology & It,460,7471,3965.5,7011,USD,0,bachelor,sql; mysql; docker; api development; flutter; php; linux,"We are looking for a talented Full Stack Developer to join our team at Kalibrr Cambodia. The candidate will be responsible for contributing to our technology & it operations in Remote. Required skills include: sql, mysql, docker. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Loan Officer,Amk Microfinance,Takeo,Part-time,Banking & Finance,,,,,,1,high school,excel; credit analysis; english; bloomberg; sql; risk management,"We are looking for a talented Loan Officer to join our team at AMK Microfinance. The candidate will be responsible for contributing to our banking & finance operations in Takeo. Required skills include: excel, credit analysis, english. Minimum 1 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
Khmer24,Ui/Ux Designer,Cellcard,Sihanoukville,Full-time,Technology & It,505,7737,4121,7232,USD,1,bachelor,php; docker; mongodb; flutter,"We are looking for a talented UI/UX Designer to join our team at Cellcard. The candidate will be responsible for contributing to our technology & it operations in Sihanoukville. Required skills include: php, docker, mongodb. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
BongThom,Agribusiness Manager,Khmer Foods,Phnom Penh,Freelance,Agriculture & Farming,259,1460,859.5,1201,USD,2,high school,physical fitness; agribusiness; teamwork; gis,"We are looking for a talented Agribusiness Manager to join our team at Khmer Foods. The candidate will be responsible for contributing to our agriculture & farming operations in Phnom Penh. Required skills include: physical fitness, agribusiness, teamwork. Minimum 2 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
BongThom,M&E Officer,Crs Cambodia,Remote,Full-time,Ngo & Development,,,,,,2,bachelor,report writing; m&e; khmer; data collection; english; ms office,"We are looking for a talented M&E Officer to join our team at CRS Cambodia. The candidate will be responsible for contributing to our ngo & development operations in Remote. Required skills include: report writing, m&e, khmer. Minimum 2 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Leasing Executive,Realestate.Com.Kh,Phnom Penh,Full-time,Real Estate,293,4747,2520,4454,USD,2,PhD,customer service; real estate law; communication; valuation; market research,"We are looking for a talented Leasing Executive to join our team at Realestate.com.kh. The candidate will be responsible for contributing to our real estate operations in Phnom Penh. Required skills include: customer service, real estate law, communication. Minimum 2 year(s) of relevant experience required. Education: Phd degree or equivalent preferred."
CamHR,Delivery Staff,Brown Coffee,Phnom Penh,Full-time,Food & Beverage,,,,,,1,bachelor,pos; kitchen management; customer service; hygiene; english; food safety,"We are looking for a talented Delivery Staff to join our team at Brown Coffee. The candidate will be responsible for contributing to our food & beverage operations in Phnom Penh. Required skills include: pos, kitchen management, customer service. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Bank Teller,Amk Microfinance,Ratanakiri,Freelance,Banking & Finance,,,,,,4,bachelor,customer service; khmer; sql; english; loan processing; risk management; excel; credit analysis,"We are looking for a talented Bank Teller to join our team at AMK Microfinance. The candidate will be responsible for contributing to our banking & finance operations in Ratanakiri. Required skills include: customer service, khmer, sql. Minimum 4 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
BongThom,Housekeeping Supervisor,Sofitel Phnom Penh,Takeo,Full-time,Hospitality & Tourism,349,3445,1897,3096,USD,3,high school,customer service; hotel management; opera pms; khmer; chinese; english; communication; f&b service,"We are looking for a talented Housekeeping Supervisor to join our team at Sofitel Phnom Penh. The candidate will be responsible for contributing to our hospitality & tourism operations in Takeo. Required skills include: customer service, hotel management, opera pms. Minimum 3 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
KhmerOnline,Store Manager,Lucky Supermarket,Phnom Penh,Part-time,Retail & Sales,241,2539,1390,2298,USD,3,bachelor,sales; target driven; english; khmer; communication; customer service; ms office,"We are looking for a talented Store Manager to join our team at Lucky Supermarket. The candidate will be responsible for contributing to our retail & sales operations in Phnom Penh. Required skills include: sales, target driven, english. Minimum 3 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Cost Accountant,Pwc Cambodia,Sihanoukville,Full-time,Accounting & Audit,352,4792,2572,4440,USD,4,bachelor,tax law; erp; quickbooks; english; financial reporting; accounting standards,"We are looking for a talented Cost Accountant to join our team at PWC Cambodia. The candidate will be responsible for contributing to our accounting & audit operations in Sihanoukville. Required skills include: tax law, erp, quickbooks. Minimum 4 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Loan Officer,Chip Mong Bank,Takeo,Contract,Banking & Finance,,,,,,4,master,credit analysis; financial modeling; excel; loan processing; risk management; english; khmer; sql,"We are looking for a talented Loan Officer to join our team at Chip Mong Bank. The candidate will be responsible for contributing to our banking & finance operations in Takeo. Required skills include: credit analysis, financial modeling, excel. Minimum 4 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
CamHR,Financial Analyst,Phillip Bank,Takeo,Full-time,Banking & Finance,580,4608,2594,4028,USD,2,bachelor,bloomberg; sql; financial modeling; risk management; excel; english; loan processing; credit analysis,"We are looking for a talented Financial Analyst to join our team at Phillip Bank. The candidate will be responsible for contributing to our banking & finance operations in Takeo. Required skills include: bloomberg, sql, financial modeling. Minimum 2 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Ap/Ar Specialist,Pwc Cambodia,Phnom Penh,Full-time,Accounting & Audit,299,4483,2391,4184,USD,0,bachelor,accounting standards; khmer,"We are looking for a talented AP/AR Specialist to join our team at PWC Cambodia. The candidate will be responsible for contributing to our accounting & audit operations in Phnom Penh. Required skills include: accounting standards, khmer. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Training Facilitator,Pannasastra University,Sihanoukville,Internship,Education & Training,317,3481,1899,3164,USD,0,master,curriculum design; classroom management; communication; patience; khmer; lesson planning; english,"We are looking for a talented Training Facilitator to join our team at Pannasastra University. The candidate will be responsible for contributing to our education & training operations in Sihanoukville. This is an internship opportunity suitable for fresh graduates. Required skills include: curriculum design, classroom management, communication. No experience required — training provided. Education: Master degree or equivalent preferred."
Khmer24,Warehouse Keeper,Pactics Cambodia,Phnom Penh,Full-time,Manufacturing,167,869,518,702,USD,4,none,teamwork; machine operation; lean manufacturing; physical fitness; safety; quality control; inventory,"We are looking for a talented Warehouse Keeper to join our team at Pactics Cambodia. The candidate will be responsible for contributing to our manufacturing operations in Phnom Penh. Required skills include: teamwork, machine operation, lean manufacturing. Minimum 4 year(s) of relevant experience required. Education: None degree or equivalent preferred."
CamHR,Cashier,Havi Cambodia,Kampot,Contract,Retail & Sales,272,2722,1497,2450,USD,1,bachelor,sales; negotiation; ms office; communication; customer service; english; product knowledge; target driven,"We are looking for a talented Cashier to join our team at Havi Cambodia. The candidate will be responsible for contributing to our retail & sales operations in Kampot. Required skills include: sales, negotiation, ms office. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Restaurant Manager,Amansara,Battambang,Internship,Hospitality & Tourism,303.41,3275.85,1789.63,2972.44,USD,0,bachelor,communication; hotel management; event management; opera pms; customer service; f&b service; chinese,"We are looking for a talented Restaurant Manager to join our team at Amansara. The candidate will be responsible for contributing to our hospitality & tourism operations in Battambang. This is an internship opportunity suitable for fresh graduates. Required skills include: communication, hotel management, event management. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Khmer Teacher,Ace Cambodia,Kandal,Full-time,Education & Training,247,2430,1338.5,2183,USD,1,master,patience; ms office; communication; reporting; e-learning; classroom management,"We are looking for a talented Khmer Teacher to join our team at ACE Cambodia. The candidate will be responsible for contributing to our education & training operations in Kandal. Required skills include: patience, ms office, communication. Minimum 1 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
BongThom,Content Creator,Khmertimes,Kampong Cham,Contract,Media & Marketing,349,4488,2418.5,4139,USD,5,bachelor,illustrator; content writing; video editing; facebook ads; english; canva; seo,"We are looking for a talented Content Creator to join our team at KhmerTimes. The candidate will be responsible for contributing to our media & marketing operations in Kampong Cham. Required skills include: illustrator, content writing, video editing. Minimum 5 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
CamHR,Inventory Controller,Dhl Cambodia,Phnom Penh,Full-time,Logistics & Transport,237.8,2002.68,1120.24,1764.88,USD,4,bachelor,supply chain; khmer; inventory; customs clearance; english; warehouse management; logistics,"We are looking for a talented Inventory Controller to join our team at DHL Cambodia. The candidate will be responsible for contributing to our logistics & transport operations in Phnom Penh. Required skills include: supply chain, khmer, inventory. Minimum 4 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Sales Supervisor,Chip Mong Retail,Battambang,Full-time,Retail & Sales,161,2542,1351.5,2381,USD,1,bachelor,product knowledge; communication; sales; english; khmer; negotiation; target driven; pos system,"We are looking for a talented Sales Supervisor to join our team at Chip Mong Retail. The candidate will be responsible for contributing to our retail & sales operations in Battambang. Required skills include: product knowledge, communication, sales. Minimum 1 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Supply Chain Analyst,Toll Group,Phnom Penh,Full-time,Logistics & Transport,,,,,,3,high school,khmer; english; inventory; supply chain; excel,"We are looking for a talented Supply Chain Analyst to join our team at Toll Group. The candidate will be responsible for contributing to our logistics & transport operations in Phnom Penh. Required skills include: khmer, english, inventory. Minimum 3 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
Khmer24,Export Coordinator,Anacle Garment,Phnom Penh,Full-time,Garment & Textile,143,466,304.5,323,USD,1,none,khmer; pattern making; quality inspection; machine operation,"We are looking for a talented Export Coordinator to join our team at Anacle Garment. The candidate will be responsible for contributing to our garment & textile operations in Phnom Penh. Required skills include: khmer, pattern making, quality inspection. Minimum 1 year(s) of relevant experience required. Education: None degree or equivalent preferred."
BongThom,Construction Laborer,Urbanland,Battambang,Full-time,Construction & Engineering,446,6673,3559.5,6227,USD,7,bachelor,civil 3d; autocad; surveying; structural analysis,"We are looking for a talented Construction Laborer to join our team at Urbanland. The candidate will be responsible for contributing to our construction & engineering operations in Battambang. Required skills include: civil 3d, autocad, surveying. Minimum 7 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Network Engineer,Nssf Cambodia,Kandal,Part-time,Technology & It,,,,,,4,master,docker; java; api development; mysql; php; mongodb,"We are looking for a talented Network Engineer to join our team at NSSF Cambodia. The candidate will be responsible for contributing to our technology & it operations in Kandal. Required skills include: docker, java, api development. Minimum 4 year(s) of relevant experience required. Education: Master degree or equivalent preferred."
Khmer24,Software Developer,Anz Royal,Phnom Penh,Freelance,Technology & It,591.46,7753.9,4172.68,7162.44,USD,3,bachelor,docker; aws,"We are looking for a talented Software Developer to join our team at ANZ Royal. The candidate will be responsible for contributing to our technology & it operations in Phnom Penh. Required skills include: docker, aws. Minimum 3 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
Khmer24,Garment Supervisor,Everest Textile,Kampot,Full-time,Garment & Textile,122,724,423,602,USD,1,high school,pattern making; quality inspection; production planning,"We are looking for a talented Garment Supervisor to join our team at Everest Textile. The candidate will be responsible for contributing to our garment & textile operations in Kampot. Required skills include: pattern making, quality inspection, production planning. Minimum 1 year(s) of relevant experience required. Education: High School degree or equivalent preferred."
CamHR,Backend Developer,Smartaxiom,Phnom Penh,Contract,Technology & It,793,8317,4555,7524,USD,4,bachelor,aws; php; git; react,"We are looking for a talented Backend Developer to join our team at SmartAxiom. The candidate will be responsible for contributing to our technology & it operations in Phnom Penh. Required skills include: aws, php, git. Minimum 4 year(s) of relevant experience required. Education: Bachelor degree or equivalent preferred."
KhmerOnline,Treasury Analyst,Sathapana Bank,Kampot,Full-time,Banking & Finance,381,2818,1599.5,2437,USD,0,bachelor,loan processing; customer service; khmer; risk management; bloomberg; sql,"We are looking for a talented Treasury Analyst to join our team at Sathapana Bank. The candidate will be responsible for contributing to our banking & finance operations in Kampot. Required skills include: loan processing, customer service, khmer. No experience required — training provided. Education: Bachelor degree or equivalent preferred."
BongThom,Library Assistant,Zaman University,Phnom Penh,Full-time,Education & Training,175,2851,1513,2676,USD,0,high school,english; classroom management; communication,"We are looking for a talented Library Assistant to join our team at Zaman University. The candidate will be responsible for contributing to our education & training operations in Phnom Penh. Required skills include: english, classroom management, communication. No experience required — training provided. Education: High School degree or equivalent preferred."
